case,sideband_ratio,eom_offset_kHz,blue_detuning_MHz,cooling_total_intensity_mW_cm2,n_ss_n9,n_5ms_n6,tau_fixed_nss_ms,scatter_kHz,Nsc_5ms,chi_photons_per_quantum_5ms,eta_quantum_per_photon_5ms
lowest_5ms_n,0.06,4.75,60.0,4.0,0.05962891694121109,0.06059062810538722,0.5082392430187784,0.9601431146131622,4.800715573065811,5.686897559556682,0.17584280172578917
lower_scattering_reference,0.025,4.75,60.0,4.0,0.04790696953087093,0.0693107309365787,0.8174408485291993,0.4554445460093071,2.2772227300465357,2.725740056860168,0.3668728415547883
