scan_name,sideband_ratio,sideband_fraction_total,eom_offset_kHz,blue_detuning_MHz,cooling_total_intensity_mW_cm2,n_fock,n_ss,pe_ss,total_scattering_rate_kHz,scatter_hz_per_asymptotic_quantum,p_top,p_tail_last2,delta_phi_pol_pi,solver_used,runtime_s
ratio_refine_initial,0.06,0.056603773584905655,6.0,60.0,4.0,6,0.058439008178835496,2.651472325918313e-05,0.9579322877346855,1017.3873982203273,0.00032160220485280945,0.00127198691311046,13.678840332934593,direct(w=auto),32.89926390000619
ratio_refine_initial,0.07,0.06542056074766356,6.0,60.0,4.0,6,0.06185395651772501,3.0058686124134914e-05,1.0859696962976524,1157.5699794742782,0.00033687579751457433,0.0013346074700778593,13.678840332934593,direct(w=auto),32.70986200000334
ratio_refine_initial,0.08,0.07407407407407407,6.0,60.0,4.0,6,0.0651698506938597,3.342186717881641e-05,1.2074757625795696,1291.6525675555022,0.00035176929684511694,0.0013951395458129436,13.678840332934593,direct(w=auto),35.8459223999962
ratio_refine_initial,0.09,0.08256880733944953,6.0,60.0,4.0,6,0.06839172043837394,3.6622297766326444e-05,1.3231019286330938,1420.2341881887176,0.0003663263961192846,0.0014538070306998056,13.678840332934593,direct(w=auto),36.40067820000695
ratio_refine_initial,0.1,0.09090909090909091,6.0,60.0,4.0,6,0.07152511427518585,3.967550223887689e-05,1.433409063153122,1543.8318097684794,0.00038059250455617117,0.0015108310998922614,13.678840332934593,direct(w=auto),35.6935022000107
ratio_refine_initial,0.11,0.09909909909909909,6.0,60.0,4.0,6,0.07457708639593874,4.2594900731633945e-05,1.5388820130172085,1662.8959477824355,0.00039461940301820477,0.001566449871532902,13.678840332934593,direct(w=auto),33.45892729998741
ratio_refine_initial,0.12,0.10714285714285712,6.0,60.0,4.0,6,0.07755661999646489,4.539209581069034e-05,1.639939959393951,1777.8218099279613,0.00040846620609036663,0.0016209232986400621,13.678840332934593,direct(w=auto),34.676834199999576
ratio_refine_initial,0.14,0.12280701754385964,6.0,60.0,4.0,6,0.0833412016760451,5.0658137640676284e-05,1.8301931801496254,1996.5915163810164,0.0004358743745486522,0.0017275162045567371,13.678840332934593,direct(w=auto),26.920240499995998
ratio_refine_initial,0.16,0.13793103448275865,6.0,60.0,4.0,6,0.088961376838216,5.5534717708632766e-05,2.0063758034851724,2202.294998780613,0.00046328242153985226,0.0018325482743195975,13.678840332934593,direct(w=auto),20.120296099994448
eom_refine_initial,0.06,0.056603773584905655,3.0,60.0,4.0,6,0.0590055372319001,2.8026792807854535e-05,1.012560813471649,1076.0539551880297,0.00030500456613471457,0.001197789345865772,13.67883432878088,direct(w=auto),19.92508839999209
eom_refine_initial,0.06,0.056603773584905655,3.5,60.0,4.0,6,0.058204239899610904,2.747801996907615e-05,0.9927345752054976,1054.08690213224,0.00030465499564802476,0.0011977900829396836,13.678835329473166,direct(w=auto),19.88481610000599
eom_refine_initial,0.06,0.056603773584905655,4.0,60.0,4.0,6,0.05761817861160028,2.7012178308693197e-05,0.9759045007185532,1035.5722898822103,0.0003051173122681259,0.0012010050792252143,13.678836330165451,direct(w=auto),19.93980389999342
eom_refine_initial,0.06,0.056603773584905655,4.5,60.0,4.0,6,0.05728122289336009,2.664915660812839e-05,0.9627891381812903,1021.2898709159583,0.0003066212718611144,0.0012083490788214527,13.678837330857737,direct(w=auto),20.011573800002225
eom_refine_initial,0.06,0.056603773584905655,5.0,60.0,4.0,6,0.05724518260594268,2.6416262629760285e-05,0.9543750710489652,1012.3258491396823,0.00030949906662891807,0.0012211464714918362,13.678838331550022,direct(w=auto),20.023363500004052
eom_refine_initial,0.06,0.056603773584905655,5.5,60.0,4.0,6,0.05758972230747547,2.635234732167958e-05,0.952065918632305,1010.2456872217292,0.0003142429722977184,0.0012413617410866897,13.678839332242308,direct(w=auto),20.066841400010162
eom_refine_initial,0.06,0.056603773584905655,6.0,60.0,4.0,6,0.058439008178835496,2.651472325918313e-05,0.9579322877346855,1017.3873982203273,0.00032160220485280945,0.00127198691311046,13.678840332934593,direct(w=auto),20.02025830000639
eom_refine_initial,0.06,0.056603773584905655,6.5,60.0,4.0,6,0.05998987435840018,2.6990865488283998e-05,0.9751345044182678,1037.3659578961385,0.0003327469715183182,0.0013176983465601258,13.67884133362688,direct(w=auto),20.101582000002963
eom_refine_initial,0.06,0.056603773584905655,7.0,60.0,4.0,6,0.0625585099683911,2.791780304359786e-05,1.0086231968805386,1075.9318929296905,0.0003495408675841971,0.001385948629086996,13.678842334319166,direct(w=auto),20.080836299996008
eom_refine_initial,0.06,0.056603773584905655,7.5,60.0,4.0,6,0.06665059739637552,2.9511251058409084e-05,1.0661917895184327,1142.3286783537203,0.00037495142285584034,0.0014886160325810684,13.67884333501145,direct(w=auto),20.09615290000511
eom_refine_initial,0.06,0.056603773584905655,8.0,60.0,4.0,6,0.07303067687309267,3.2094429722377326e-05,1.1595176833252068,1250.8695319213516,0.00041346059614478614,0.001643666945476763,13.678844335703735,direct(w=auto),20.232790099995327
eom_refine_initial,0.06,0.056603773584905655,8.5,60.0,4.0,6,0.0826257859253805,3.6058068166816585e-05,1.302717263638376,1420.0500119272074,0.00047052052795411493,0.0018730285248932913,13.678845336396021,direct(w=auto),20.11795600000187
eom_refine_initial,0.06,0.056603773584905655,9.0,60.0,4.0,6,0.09568567127161608,4.151153376405289e-05,1.499741789392522,1658.4297536249458,0.0005476929694194872,0.0021832279058184674,13.678846337088308,direct(w=auto),20.012799699994503
blue_refine_after_eom,0.06,0.056603773584905655,5.0,52.0,4.0,6,0.07174081335064178,3.0752048144091374e-05,1.1110196981216465,1196.8852170825048,0.0002904064327185106,0.0011366941619176435,13.678838331550022,direct(w=auto),20.07451220000803
blue_refine_after_eom,0.06,0.056603773584905655,5.0,54.0,4.0,6,0.06480543948953563,2.950252586300441e-05,1.0658765629059115,1139.73776999314,0.00028700295012884443,0.0011218121518907405,13.678838331550022,direct(w=auto),20.81478220000281
blue_refine_after_eom,0.06,0.056603773584905655,5.0,56.0,4.0,6,0.06017206036454605,2.8373068695602173e-05,1.0250711779998767,1090.7008982915397,0.0002890375412462471,0.001131770836968887,13.678838331550022,direct(w=auto),20.11492919999
blue_refine_after_eom,0.06,0.056603773584905655,5.0,58.0,4.0,6,0.05771089057479709,2.7350078618447094e-05,0.9881122697223916,1048.6296189129691,0.0002965703723519772,0.001165334691135164,13.678838331550022,direct(w=auto),20.103722800005926
blue_refine_after_eom,0.06,0.056603773584905655,5.0,60.0,4.0,6,0.05724518260594268,2.6416262629760285e-05,0.9543750710489652,1012.3258491396823,0.00030949906662891807,0.0012211464714918362,13.678838331550022,direct(w=auto),20.117538999998942
