scan_name,sideband_ratio,sideband_fraction_total,eom_offset_kHz,blue_detuning_MHz,cooling_total_intensity_mW_cm2,n_fock,n_ss,pe_ss,scattering_rate_kHz,total_scattering_rate_kHz,scattering_rate_hz,scatter_hz_per_asymptotic_quantum,p_top,p_tail_last2,delta_phi_pol_pi,solver_used,runtime_s
sideband_ratio,0.03,0.029126213592233007,8.5,40.0,4.0,6,0.16703256134006675,2.6167479387450738e-05,0.9453869515756421,0.9453869515756421,945.3869515756421,1134.9626740471006,0.000307400962883674,0.0015106357909892513,13.678845336396021,direct(w=auto),32.79339320000145
sideband_ratio,0.04,0.038461538461538464,8.5,40.0,4.0,6,0.16892054166035975,3.425013821643841e-05,1.2373997999597761,1.2373997999597761,1237.3997999597761,1488.9067315319007,0.00037033550680598814,0.001734343831285708,13.678845336396021,direct(w=auto),34.981034600001294
sideband_ratio,0.05,0.047619047619047616,8.5,40.0,4.0,6,0.17068533526653593,4.2040831403740494e-05,1.5188644215211793,1.5188644215211793,1518.8644215211793,1831.4693880510745,0.00043215127873928526,0.00194418647544225,13.678845336396021,direct(w=auto),34.18263930000103
sideband_ratio,0.06,0.056603773584905655,8.5,40.0,4.0,6,0.17229277864943368,4.9546855737481604e-05,1.7900444369234731,1.7900444369234731,1790.044436923473,2162.6541254559374,0.0004906518333495651,0.002135706246221755,13.678845336396021,direct(w=auto),34.86708799999906
sideband_ratio,0.07,0.06542056074766356,8.5,40.0,4.0,6,0.17371392925230666,5.6768994724397466e-05,2.050968152945215,2.050968152945215,2050.968152945215,2482.1526412630024,0.0005442926022594064,0.002306956183836713,13.678845336396021,direct(w=auto),33.99980710000091
sideband_ratio,0.08,0.07407407407407407,8.5,40.0,4.0,6,0.17492347922425489,6.370189254808521e-05,2.301442072961555,2.301442072961555,2301.442072961555,2789.3680343705773,0.0005922838521745749,0.0024577697434252704,13.678845336396021,direct(w=auto),34.40284870000323
sideband_ratio,0.09,0.08256880733944953,8.5,40.0,4.0,6,0.17589933445491818,7.033507455936996e-05,2.5410877655421804,2.5410877655421804,2541.0877655421805,3083.467677897625,0.0006344289159916333,0.0025890043546641615,13.678845336396021,direct(w=auto),34.888478300003044
sideband_ratio,0.1,0.09090909090909091,8.5,40.0,4.0,6,0.17662321231939127,7.665455369547187e-05,2.769399901669835,2.769399901669835,2769.3999016698353,3363.4660863722297,0.0006709012837274346,0.0027019858780604217,13.678845336396021,direct(w=auto),34.22076929999457
sideband_ratio,0.11,0.09909909909909909,8.5,40.0,4.0,6,0.17708185396191037,8.264483379767845e-05,2.9858186312332644,2.9858186312332644,2985.8186312332646,3628.3300418254025,0.0007020654452526553,0.002798183223897904,13.678845336396021,direct(w=auto),33.74582970000483
sideband_ratio,0.12,0.10714285714285712,8.5,40.0,4.0,6,0.17726835122805257,8.829105344675642e-05,3.189807036189388,3.189807036189388,3189.807036189388,3877.0929025893947,0.0007283644282258817,0.0028790562986203893,13.678845336396021,direct(w=auto),34.47799509999459
sideband_ratio,0.13,0.11504424778761063,8.5,40.0,4.0,6,0.17718314345725072,9.35809976946265e-05,3.3809238110399824,3.3809238110399824,3380.9238110399824,4108.962746881119,0.000750260623099967,0.0029460066500761493,13.678845336396021,direct(w=auto),34.77766550000524
sideband_ratio,0.14,0.12280701754385964,8.5,40.0,4.0,6,0.1768343922600078,9.850673604460437e-05,3.5588824402986363,3.5588824402986363,3558.8824402986365,4323.410024465887,0.0007682094215886578,0.0030003759644721805,13.678845336396021,direct(w=auto),35.24341500000446
sideband_ratio,0.15,0.13043478260869565,8.5,40.0,4.0,6,0.17623763110201465,0.00010306571692326346,3.7235907399155312,3.7235907399155312,3723.5907399155312,4520.224375989504,0.0007826494688324428,0.0030434585588595274,13.678845336396021,direct(w=auto),34.215836199997284
