t_s,t_ms,n,n_smooth,n_fit_fixed_nss,pe
0.0,0.0,0.904761904761907,0.6140771291189889,0.904761904761907,-9.098306640523434e-19
2.092050209205021e-05,0.020920502092050212,0.8661857566447518,0.6140771291189889,0.8706802043962321,0.0003448507760083664
4.184100418410042e-05,0.041841004184100423,0.8261864443162633,0.6140771291189889,0.8379729176631511,0.0002850499843196038
6.276150627615063e-05,0.06276150627615064,0.7515501738164557,0.6140771291189889,0.8065846185477297,0.00029214016392295906
8.368200836820084e-05,0.08368200836820085,0.7101823678903563,0.6140771291189889,0.7764621162014043,0.0002515314467988457
0.00010460251046025105,0.10460251046025106,0.6715751724693634,0.6140771291189889,0.7475543648043692,0.00021780002027122636
0.00012552301255230126,0.12552301255230128,0.6389934871095625,0.6140771291189889,0.7198123770629451,0.0001960726277513237
0.00014644351464435147,0.14644351464435149,0.6082945297787274,0.6140771291189889,0.6931891411953409,0.00018063146644536814
0.00016736401673640169,0.1673640167364017,0.5775040138308378,0.6140771291189889,0.6676395412651341,0.00017144072572027231
0.0001882845188284519,0.1882845188284519,0.552802822834988,0.5852271497144246,0.6431202807274644,0.0001594495473785947
0.0002092050209205021,0.2092050209205021,0.5308156510149713,0.5579238790339656,0.6195898090583817,0.00014844823661480154
0.00023012552301255232,0.23012552301255232,0.509665413875726,0.5322891305334874,0.5970082513430148,0.00014053203437282977
0.00025104602510460253,0.25104602510460255,0.4908685496668856,0.5104063481399386,0.5753373407032402,0.00013396584614945763
0.00027196652719665277,0.27196652719665276,0.4734660910982754,0.4903663054883203,0.5545403534503406,0.0001275542214323807
0.00029288702928870295,0.29288702928870297,0.45684673760594363,0.47203348111880955,0.5345820468527657,0.00012272666589255974
0.00031380753138075313,0.3138075313807531,0.44191265099142457,0.45508351936743796,0.5154285994135334,0.00011782394958484579
0.00033472803347280337,0.3347280334728034,0.4276994273163731,0.4394343144076449,0.49704755355606495,0.00011342135175374172
0.0003556485355648536,0.3556485355648536,0.4143122548843119,0.42511134323616584,0.4794077606213316,0.00010984865738887201
0.0003765690376569038,0.3765690376569038,0.4020301550769484,0.41177453193538555,0.46247932808310177,0.00010611917234037716
0.000397489539748954,0.39748953974895396,0.39039571980813403,0.3992811567066225,0.4462335688918396,0.00010294333581846388
0.0004184100418410042,0.4184100418410042,0.3795428731261256,0.3876027272219155,0.4306429528614157,0.00010029848167500233
0.00043933054393305445,0.43933054393305443,0.36950164281284686,0.3766202807043066,0.415681060016245,9.759954201069852e-05
0.00046025104602510463,0.46025104602510464,0.35991715818768016,0.3662669143114204,0.40132253581979715,9.531736362758229e-05
0.0004811715481171548,0.4811715481171548,0.35084413733624575,0.35651737273537876,0.38754304820860735,9.333017420992554e-05
0.0005020920502092051,0.5020920502092051,0.34225804546224625,0.34729385013861575,0.3743192463589781,9.116767736108472e-05
0.0005230125523012553,0.5230125523012553,0.33401350391569246,0.33856613464219765,0.3616287211164972,8.912608315003676e-05
0.0005439330543933055,0.5439330543933055,0.3260770307217226,0.33029590652514734,0.3494499670213153,8.719637732825477e-05
0.0005648535564853557,0.5648535564853556,0.31842827212600017,0.3224289143155665,0.33776234586483167,8.533673794863368e-05
0.0005857740585774059,0.5857740585774059,0.3111321126357069,0.3149341940832494,0.32654605171602996,8.355930898543646e-05
0.0006066945606694561,0.6066945606694562,0.304166958867534,0.3077718439372962,0.31578207735819797,8.191881303471466e-05
0.0006276150627615063,0.6276150627615062,0.29745886241921,0.30090317992756144,0.30545218207915514,8.057202620046083e-05
0.0006485355648535565,0.6485355648535565,0.29110453081323484,0.29431287263702144,0.2955388607604034,7.933233756984418e-05
0.0006694560669456067,0.6694560669456068,0.285112766846454,0.28798155420904953,0.28602531421282174,7.802666728056595e-05
0.000690376569037657,0.690376569037657,0.27932826387726667,0.28189039174832875,0.2768954207086335,7.683038000859787e-05
0.0007112970711297072,0.7112970711297072,0.27371837689445616,0.2760308802599055,0.2681337086614047,7.568116909761794e-05
0.0007322175732217573,0.7322175732217574,0.2682912875140731,0.27039548419611836,0.25972533040777684,7.442597391368016e-05
0.0007531380753138076,0.7531380753138076,0.2629854758587447,0.26497332415489416,0.25165603704650463,7.317677846490912e-05
0.0007740585774058578,0.7740585774058578,0.25778292064492103,0.25974829057608123,0.24391215429216034,7.199645539997521e-05
0.000794979079497908,0.7949790794979079,0.25273435464735583,0.2547058401846231,0.23648055930258682,7.085021571110959e-05
0.0008158995815899582,0.8158995815899582,0.24788193424850014,0.24983407079466197,0.22934865844082952,6.974299706424318e-05
0.0008368200836820084,0.8368200836820084,0.2432117240607228,0.24511544201582022,0.2225043659338649,6.875188119386449e-05
0.0008577405857740587,0.8577405857740587,0.23870828362999372,0.2405349720423731,0.21593608339195788,6.790998338873389e-05
0.0008786610878661089,0.8786610878661089,0.23440180861249701,0.23608860252112807,0.20963268015394315,6.710569568765801e-05
0.000899581589958159,0.8995815899581591,0.23027529763734203,0.23177367322170497,0.20358347442512287,6.626947100482809e-05
0.0009205020920502093,0.9205020920502093,0.2262515514251887,0.22758679912589502,0.19777821517581648,6.544936514661691e-05
0.0009414225941422595,0.9414225941422595,0.2223065417958856,0.22352819179514857,0.19220706476988886,6.460588635181116e-05
0.0009623430962343096,0.9623430962343096,0.21844530221274622,0.2195972517320943,0.18686058229381755,6.368731486520777e-05
0.0009832635983263599,0.9832635983263599,0.2146387827898713,0.21578776803444905,0.1817297075580495,6.277351186016888e-05
0.0010041841004184101,1.0041841004184102,0.21088784157292467,0.21209034786327244,0.1768057457435357,6.192659931165601e-05
0.0010251046025104603,1.0251046025104604,0.20724477729785307,0.20849680070678747,0.17208035266742477,6.112303205798371e-05
0.0010460251046025106,1.0460251046025106,0.20373998201610113,0.20499967408203273,0.1675455206429483,6.0366521946144845e-05
0.0010669456066945608,1.0669456066945608,0.20036457880426367,0.20159052982270267,0.1631935649095339,5.969791981611552e-05
0.001087866108786611,1.087866108786611,0.19711442788530356,0.19826404384040563,0.1590171106101523,5.909890735014965e-05
0.001108786610878661,1.108786610878661,0.19398915123605548,0.19502039442912958,0.1550090802938287,5.849956302110122e-05
0.0011297071129707113,1.1297071129707112,0.19095693957299784,0.19186061394912715,0.15116268192214102,5.787418510545882e-05
0.0011506276150627616,1.1506276150627615,0.18797313178738692,0.18878502954208345,0.14747139735938056,5.723572855010041e-05
0.0011715481171548118,1.1715481171548119,0.18502579133849803,0.185795064863814,0.1439289713268697,5.6565360782992665e-05
0.001192468619246862,1.192468619246862,0.18212142240047788,0.182890349207895,0.1405294008027196,5.5855152688125645e-05
0.0012133891213389123,1.2133891213389123,0.17925713100916355,0.18006584087181235,0.13726692484906408,5.5159117584187136e-05
0.0012343096234309625,1.2343096234309625,0.17644635620388557,0.17731450365507495,0.13413601484953072,5.451972106569926e-05
0.0012552301255230125,1.2552301255230125,0.1737250359382928,0.17463028763499616,0.13113136514040577,5.392900845289276e-05
