t_s,t_ms,n,n_fit,pe
0.0,0.0,0.9047619047619038,0.9047619047619038,7.258146303424203e-19
2.092050209205021e-05,0.020920502092050212,0.8386080613987689,0.8831109255940218,0.00037442247280690936
4.184100418410042e-05,0.041841004184100423,0.8159091742105349,0.8620070225759686,0.00027434875311297356
6.276150627615063e-05,0.06276150627615064,0.7716403952452806,0.8414363722075974,0.00024428955600486765
8.368200836820084e-05,0.08368200836820085,0.7337573301835338,0.821385500280457,0.0002173508622051007
0.00010460251046025105,0.10460251046025106,0.6960085229585709,0.8018412730519029,0.00019324844910711307
0.00012552301255230126,0.12552301255230128,0.6629067676434328,0.7827908886422196,0.00017473404484223614
0.00014644351464435147,0.14644351464435149,0.6387330470032253,0.7642218686491198,0.00015404198480221978
0.00016736401673640169,0.1673640167364017,0.6149860359409591,0.746122049974129,0.00014093053637642832
0.0001882845188284519,0.1882845188284519,0.5919584679689041,0.7284795768555001,0.0001334638204257353
0.0002092050209205021,0.2092050209205021,0.5725664729788901,0.7112828931024402,0.0001234612865727202
0.00023012552301255232,0.23012552301255232,0.5539602922896033,0.6945207345255628,0.00011536405922621214
0.00025104602510460253,0.25104602510460255,0.5363043799009765,0.6781821215586071,0.00010980853973565198
0.00027196652719665277,0.27196652719665276,0.5211452782246702,0.6622563520665906,0.00010267354303828372
0.00029288702928870295,0.29288702928870297,0.506718461814708,0.6467329943356865,9.722924800083227e-05
0.00031380753138075313,0.3138075313807531,0.4927182526400234,0.6316018802402312,9.353702564964113e-05
0.00033472803347280337,0.3347280334728034,0.48017561440741885,0.616853098582389,8.921380256119024e-05
0.0003556485355648536,0.3556485355648536,0.46837102245874807,0.602476988600108,8.576661621443025e-05
0.0003765690376569038,0.3765690376569038,0.45722871896716666,0.5884641336391192,8.301002736749781e-05
0.000397489539748954,0.39748953974895396,0.4471112837822912,0.5748053549848288,7.999689521846747e-05
0.0004184100418410042,0.4184100418410042,0.4375276163867365,0.5614917058500678,7.752461682249839e-05
0.00043933054393305445,0.43933054393305443,0.4284290871237618,0.5485144655147585,7.529011704782391e-05
0.00046025104602510463,0.46025104602510464,0.4199969446013563,0.5358651336136586,7.296277023617619e-05
0.0004811715481171548,0.4811715481171548,0.4119803102198057,0.5235354245684446,7.085621506620288e-05
0.0005020920502092051,0.5020920502092051,0.4043226507305209,0.5115172621604824,6.898136274645213e-05
0.0005230125523012553,0.5230125523012553,0.3971394184119015,0.4998027742407356,6.722471056115437e-05
0.0005439330543933055,0.5439330543933055,0.3903456836121619,0.4883842875733413,6.562173951898472e-05
0.0005648535564853557,0.5648535564853556,0.3839194000126293,0.47725432280948005,6.413056431508312e-05
