blue_detuning_MHz,t_s,t_ms,P0,P1,P2
20.0,0.0,0.0,1.0,0.0,0.0
20.0,0.0025031289111389237,2.5031289111389237,0.9900386873985274,0.009960861173258024,4.5142821432754583e-07
20.0,0.0050062578222778474,5.006257822277847,0.9801790832189567,0.01982091757343837,-7.923958091552236e-10
20.0,0.007509386733416772,7.509386733416772,0.9704201489836559,0.02957984147402611,9.54231718923156e-09
20.0,0.010012515644555695,10.012515644555695,0.9607608568179392,0.03923860460978151,5.385722787866837e-07
20.0,0.012515644555694618,12.515644555694617,0.9512001893419625,0.048798714825623146,1.095832414546148e-06
20.0,0.015018773466833543,15.018773466833544,0.9417371395636003,0.058262044219299064,8.162171011304296e-07
20.0,0.017521902377972465,17.521902377972467,0.9323707107727469,0.06762906172856478,2.274986882113769e-07
20.0,0.02002503128911139,20.02503128911139,0.9230999164360909,0.0769000357823786,4.778152990462675e-08
20.0,0.022528160200250315,22.528160200250316,0.9139237800930752,0.08607566526282961,5.546440948061115e-07
20.0,0.025031289111389236,25.031289111389235,0.9048413352528846,0.09515787485340804,7.898937058195207e-07
20.0,0.02753441802252816,27.53441802252816,0.8958516252934433,0.10414598161859374,2.3930879616852804e-06
20.0,0.030037546933667086,30.037546933667088,0.8869537033591365,0.1130440523239666,2.2443168954461948e-06
20.0,0.03254067584480601,32.54067584480601,0.8781466322628557,0.12185230071195376,1.0670251888219299e-06
20.0,0.03504380475594493,35.04380475594493,0.8694294843867036,0.13056992263390887,5.929793865589961e-07
20.0,0.03754693366708386,37.546933667083856,0.8608013415837806,0.13919757211039865,1.0863058209579312e-06
20.0,0.04005006257822278,40.05006257822278,0.8522612950816251,0.14773665685185797,2.0480665165900495e-06
20.0,0.0425531914893617,42.5531914893617,0.8438084453864911,0.15618937781524148,2.176798265849101e-06
20.0,0.04505632040050063,45.05632040050063,0.8354419021890354,0.16455664243826412,1.4553726998785183e-06
20.0,0.04755944931163955,47.559449311639554,0.8271607842705253,0.17283812138224752,1.0943472261449899e-06
20.0,0.05006257822277847,50.06257822277847,0.8189642194093573,0.1810355385806863,2.420099552568015e-07
20.0,0.0525657071339174,52.5657071339174,0.8108513442904415,0.1891465486433916,2.1070661666728864e-06
20.0,0.05506883604505632,55.06883604505632,0.8028213044119132,0.1971762040761301,2.4915119549415645e-06
20.0,0.057571964956195244,57.571964956195245,0.7948732539975789,0.20512509404265905,1.6519597608887688e-06
20.0,0.06007509386733417,60.075093867334175,0.7870063559071001,0.21299284552933098,7.985635682946292e-07
20.0,0.0625782227784731,62.5782227784731,0.77921978154754,0.22077953174264783,6.867098117582608e-07
20.0,0.06508135168961202,65.08135168961202,0.771512710786077,0.22848573181121845,1.5574027049595634e-06
20.0,0.06758448060075094,67.58448060075094,0.7638843318635739,0.23611275860234224,2.909534085482761e-06
20.0,0.07008760951188986,70.08760951188987,0.7563338413090912,0.243662590389133,3.56830177593628e-06
20.0,0.0725907384230288,72.5907384230288,0.7488604438554152,0.25113716695592025,2.3891886650480808e-06
20.0,0.07509386733416772,75.09386733416771,0.7414633523558977,0.2585353766799676,1.2709641343917715e-06
20.0,0.07759699624530664,77.59699624530664,0.7341417877009346,0.2658561147141788,2.097584886189283e-06
20.0,0.08010012515644556,80.10012515644556,0.7268949787350696,0.27310231341851765,2.7078464131696195e-06
20.0,0.08260325406758448,82.60325406758449,0.7197221621770034,0.2802749372611463,2.9005618491866808e-06
20.0,0.0851063829787234,85.1063829787234,0.7126225825387866,0.28737504120679913,2.3762544132579403e-06
20.0,0.08760951188986232,87.60951188986232,0.7055954920464781,0.2944025929386173,1.9150149042906803e-06
20.0,0.09011264080100126,90.11264080100126,0.6986401505611056,0.3013578487968475,2.000642046567745e-06
20.0,0.09261576971214018,92.61576971214018,0.6917558255006756,0.308241537804221,2.636695103117323e-06
20.0,0.0951188986232791,95.11889862327911,0.6849417917630142,0.31505482224359094,3.385993394943135e-06
20.0,0.09762202753441802,97.62202753441802,0.6781973316493616,0.32179948389137936,3.1844592582699676e-06
20.0,0.10012515644555695,100.12515644555694,0.6715217347892393,0.3284756828550507,2.5823557094921365e-06
20.0,0.10262828535669587,102.62828535669587,0.6649142980653981,0.33508306205619415,2.639878406069088e-06
20.0,0.1051314142678348,105.1314142678348,0.6583743255392515,0.34162326456565906,2.4098950878329236e-06
20.0,0.10763454317897372,107.63454317897373,0.6519011283784386,0.34809569029162907,3.181329930436311e-06
20.0,0.11013767209011265,110.13767209011264,0.6454940247833505,0.3545020110243617,3.964192286632941e-06
20.0,0.11264080100125157,112.64080100125156,0.6391523399157357,0.3608441205726846,3.5395115796521242e-06
20.0,0.11514392991239049,115.14392991239049,0.6328754058281191,0.3671217139782839,2.8801935966133196e-06
20.0,0.11764705882352941,117.6470588235294,0.6266625613929612,0.3733346961710046,2.7424360344097347e-06
20.0,0.12015018773466835,120.15018773466835,0.6205131522329222,0.3794836296163314,3.218150747448181e-06
20.0,0.12265331664580727,122.65331664580727,0.614426530651976,0.3855695813060318,3.888041993145317e-06
20.0,0.1251564455569462,125.1564455569462,0.6084020555674856,0.391592689723699,5.2547088168585785e-06
20.0,0.1276595744680851,127.6595744680851,0.6024390924417794,0.39755653135941615,4.3761988060924696e-06
20.0,0.13016270337922403,130.16270337922404,0.5965370132168063,0.4034608879211079,2.0988620877531327e-06
20.0,0.13266583229036297,132.66583229036297,0.5906951962478549,0.40930236770941614,2.436042730918569e-06
20.0,0.13516896120150187,135.16896120150187,0.5849130262362396,0.41508336234300414,3.611420758515956e-06
20.0,0.1376720901126408,137.6720901126408,0.5791898941658953,0.4208052168336998,4.889000407278298e-06
20.0,0.14017521902377972,140.17521902377973,0.5735251972388714,0.4264699951677662,4.8075933653598026e-06
20.0,0.14267834793491865,142.67834793491866,0.5679183388123497,0.43207798037192724,3.6808157256981514e-06
20.0,0.1451814768460576,145.1814768460576,0.5623687283355326,0.4376290094668701,2.262197600113329e-06
20.0,0.1476846057571965,147.6846057571965,0.5568757812876418,0.44312149936454304,2.7193478183642284e-06
20.0,0.15018773466833543,150.18773466833542,0.5514389191155112,0.4485565327628193,4.548121673055653e-06
20.0,0.15269086357947434,152.69086357947435,0.5460575691725525,0.4539383429853914,4.087842059975453e-06
20.0,0.15519399249061328,155.19399249061328,0.5407311646602793,0.4592653602936762,3.475046048945489e-06
20.0,0.15769712140175218,157.69712140175218,0.5354591445670903,0.4645375880959283,3.267336985614737e-06
20.0,0.16020025031289112,160.20025031289111,0.5302409536094195,0.46975545886109105,3.58752949404582e-06
20.0,0.16270337922403005,162.70337922403004,0.5250760421732886,0.47491962380539976,4.334021314500149e-06
20.0,0.16520650813516896,165.20650813516897,0.5199638662563516,0.48003130847850856,4.825265142675114e-06
20.0,0.1677096370463079,167.7096370463079,0.514903887410675,0.48509189444432715,4.218145000651707e-06
20.0,0.1702127659574468,170.2127659574468,0.5098955726863896,0.49010116919959995,3.2581140136999657e-06
20.0,0.17271589486858574,172.71589486858574,0.5049383945754357,0.49505790190528876,3.7035192789601475e-06
