ratio,eom_offset_kHz,blue_detuning_MHz,cooling_total_intensity_mW_cm2,n_fock,n_ss,total_scattering_rate_kHz,scatter_hz_per_asymptotic_quantum,p_tail_last2,solver_used,runtime_s
0.025,4.75,60.0,4.0,9,0.04790696953087093,0.4554445460093071,478.36139057219424,0.00011923328833129176,direct(w=auto),110.01383160000842
0.03,4.75,60.0,4.0,9,0.04966994343977971,0.5358976145378642,563.9068351448122,0.00012265321373803554,direct(w=auto),112.58272910000233
0.035,4.75,60.0,4.0,9,0.05140152646121888,0.6132876049315289,646.5197046371339,0.00012601606203072917,direct(w=auto),110.21947440000076
